Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover,
ADYEN,NL0012969182,ADYEN,Euronext Amsterdam,EUR,671,682,669.2,681,26/11/19,CET,167860,113796464.4,
AEDIFICA,BE0003851681,AED,Euronext Brussels,,,,,,,,,,
AEGON,NL0000303709,AGN,Euronext Amsterdam,EUR,4.11,4.117,4.059,4.078,26/11/19,CET,10400263,42435494.94,
AERKOMM INC,US00774B2088,AKOM,Euronext Paris,EUR,-,-,-,-,-,CET,-,-,
AFONE PARTICIP.,FR0000044612,AFO,Euronext Paris,EUR,12.9,12.9,12.9,12.9,26/11/19,CET,2635,33991.5,
AG3I,FR0011908045,MLAGI,Euronext Access Paris,EUR,3.46,3.46,3.46,3.46,8/11/19,CET,2,6.92,
AGARTHA REAL EST,ES0105422002,MLAGA,Euronext Access Paris,EUR,-,-,-,-,-,CET,-,-,
AGEAS,BE0974264930,AGS,Euronext Brussels,EUR,52.92,53.62,52.52,53.5,26/11/19,CET,1047897,55881735.9,
AGFA-GEVAERT,BE0003755692,AGFB,Euronext Brussels,EUR,4.524,4.622,4.524,4.622,26/11/19,CET,1024470,4710841.11,
AGRIPOWER,FR0013452281,ALAGP,Euronext Growth Paris,EUR,9.2,9.22,8.82,9.02,26/11/19,CET,43991,395718.9,
AGROGENERATION,FR0010641449,ALAGR,Euronext Growth Paris,EUR,0.0534,0.0534,0.0502,0.0502,26/11/19,CET,220130,11308.32,
AGTA RECORD,CH0008853209,AGTA,Euronext Paris,EUR,68,68,68,68,26/11/19,CET,25,1700,
AGUAS DA CURIA,PTCUR0AP0000,CUR,Euronext Access Lisbon,EUR,1.17,1.17,1.17,1.17,7/9/17,BST,32,37.44,
AHOLD DEL,NL0011794037,AD,Euronext Amsterdam,,,,,,,,,,
AIB GROUP PLC,IE00BF0L3536,A5G,Euronext Dublin,EUR,2.86,2.97,2.858,2.942,26/11/19,UTC,11720264,34350435.24,
AIR FRANCE -KLM,FR0000031122,AF,Euronext Paris,,,,,,,,,,
AIR LIQUIDE,FR0000120073,AI,Euronext Paris,EUR,122.4,122.4,121.45,122,26/11/19,CET,1223033,149130962.2,
AIR MARINE,FR0013285103,MLAIM,Euronext Access Paris,EUR,4.44,4.44,4.42,4.42,26/11/19,CET,245,1083.3,
AIRBUS,NL0000235190,AIR,Euronext Paris,EUR,134.2,135.72,134.1,135.68,26/11/19,CET,1458490,197593035.4,
AJAX,NL0000018034,AJAX,Euronext Amsterdam,EUR,21.4,21.7,21.2,21.7,26/11/19,CET,60191,1293230.5,
AKKA TECHNOLOGIES,FR0004180537,AKA,Euronext Paris,,,,,,,,,,
AKWEL,FR0000053027,AKW,Euronext Paris,EUR,20.8,20.8,20.55,20.8,26/11/19,CET,19297,400467.5,
AKZO NOBEL,NL0013267909,AKZA,Euronext Amsterdam,EUR,87.51,87.67,86.8,87.39,26/11/19,CET,1181867,103248665.6,
ALBIOMA,FR0000060402,ABIO,Euronext Paris,EUR,22.9,23.2,22.6,23.2,26/11/19,CET,55074,1266861.95,
ALD,FR0013258662,ALD,Euronext Paris,EUR,13.8,14,13.8,14,26/11/19,CET,113942,1590865.54,
ALES GROUPE,FR0000054652,ALPHY,Euronext Growth Paris,EUR,2.74,2.75,2.74,2.75,26/11/19,CET,971,2670.24,
ALFEN,NL0012817175,ALFEN,Euronext Amsterdam,EUR,14,14.16,13.4,13.6,26/11/19,CET,44453,615040.3,
ALPES (COMPAGNIE),FR0000053324,CDA,Euronext Paris,EUR,26.75,26.95,26.65,26.95,26/11/19,CET,17310,464995.85,
ALPHA MOS,FR0013421286,ALM,Euronext Paris,EUR,0.54,0.54,0.54,0.54,26/11/19,CET,370,199.8,
ALSTOM,FR0010220475,ALO,Euronext Paris,EUR,39.4,39.4,38.59,39.02,26/11/19,CET,2402009,93687435.41,
ALTAMIR,FR0000053837,LTA,Euronext Paris,EUR,16.75,16.8,16.728,16.728,26/11/19,CET,2029,34082.93,
ALTAREA,FR0000033219,ALTA,Euronext Paris,EUR,197.8,200,196.4,199.4,26/11/19,CET,4225,840252.4,
ALTAREIT,FR0000039216,AREIT,Euronext Paris,EUR,492,492,492,492,26/11/19,CET,31,15252,
ALTEN,FR0000071946,ATE,Euronext Paris,EUR,105,105.3,103.8,105.3,26/11/19,CET,67531,7083505.9,
